Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Power_board_teensy V2.0.PrjPcb|ReportField=ProjectFullPath~C:\Users\netar\Dropbox\F1-10\V1.3\Imported Power_board_teensy V2.0.PrjPcb\Power_board_teensy V2.0.PrjPcb|ReportField=Title~Bill of Materials For Project [Power_board_teensy V2.0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~55|ReportField=ReportTime~3:35:56 PM|ReportField=ReportDate~1/30/2018|ReportField=ReportDateTime~1/30/2018 3:35:56 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~1/30/2018|ReportField=CurrentTime~3:35:52 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\netar\Dropbox\F1-10\V1.3\Imported Power_board_teensy V2.0.PrjPcb\Power_board_teensy V2.0.SchDoc|ReportField=DocumentName~Power_board_teensy V2.0.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~1/30/2018|ReportField=Organization~|ReportField=ProjectName~Power_board_teensy V2.0.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Power_board_teensy V2.0.PrjPcb|ReportField=DataSourceFullPath~C:\Users\netar\Dropbox\F1-10\V1.3\Imported Power_board_teensy V2.0.PrjPcb\Power_board_teensy V2.0.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|GND_12|SUPPLY SYMBOL|AGND1, AGND3||AGND|2
2|AGND|SUPPLY SYMBOL|AGND2||AGND|1
3|100u|CAPACITOR, American symbol|C1, C2|C050-035X075|C-US050-035X075|2
4|100n|CAPACITOR, American symbol|C3, C4|C050-035X075|C-US050-035X075|2
5|0.33uF|CAPACITOR, American symbol|C5|C050-035X075|C-US050-035X075|1
6|100nF|CAPACITOR, American symbol|C6, C8, C9|C050-035X075|C-US050-035X075|3
7|10uF|CAPACITOR, American symbol|C7|C050-035X075|C-US050-035X075|1
8|1|PIN HEADER|CON1|MA03-1|MA03-1|1
9|2|PIN HEADER|CON2|MA03-1|MA03-1|1
10|3|PIN HEADER|CON3|MA03-1|MA03-1|1
11|4|PIN HEADER|CON4|MA03-1|MA03-1|1
